Epoch,Loss_D,Loss_G,Time
1,-88.13548278808594,52.442108154296875,2025-10-01 10:22:02
2,-132.86520385742188,66.62666320800781,2025-10-01 10:23:21
3,-152.64813232421875,193.35594177246094,2025-10-01 10:24:36
4,-29.66548728942871,194.6145477294922,2025-10-01 10:25:50
5,-2.4134597778320312,261.5841979980469,2025-10-01 10:27:05
6,-160.78443908691406,278.7120361328125,2025-10-01 10:28:19
7,-68.78473663330078,456.1171569824219,2025-10-01 10:29:34
8,-51.388484954833984,108.25070190429688,2025-10-01 10:30:49
9,-78.13988494873047,376.24114990234375,2025-10-01 10:32:04
10,-65.87797546386719,576.8651733398438,2025-10-01 10:33:20
11,-1919.586181640625,956.131103515625,2025-10-01 10:34:35
12,-52.921112060546875,-790.4923706054688,2025-10-01 10:35:51
13,-21.655609130859375,-140.5590362548828,2025-10-01 10:37:07
14,-42.13861846923828,-166.3604278564453,2025-10-01 10:38:23
15,-44.12422180175781,-80.36839294433594,2025-10-01 10:39:39
16,-12.726884841918945,180.47340393066406,2025-10-01 10:40:54
17,-33.37380599975586,59.48598861694336,2025-10-01 10:42:09
18,-34.419960021972656,368.0693359375,2025-10-01 10:43:24
19,-18.179189682006836,110.79657745361328,2025-10-01 10:44:39
20,-25.542396545410156,237.6148681640625,2025-10-01 10:45:54
21,-26.90045928955078,118.09757995605469,2025-10-01 10:47:09
22,-7.623834609985352,0.6174196004867554,2025-10-01 10:48:24
23,-38.863651275634766,63.163330078125,2025-10-01 10:49:40
24,-9.052023887634277,77.6890640258789,2025-10-01 10:50:54
25,-36.825138092041016,-45.65188217163086,2025-10-01 10:52:10
26,-26.62116050720215,-76.18482208251953,2025-10-01 10:53:25
27,-29.047651290893555,8.745368957519531,2025-10-01 10:54:40
28,-49.92124557495117,-194.80816650390625,2025-10-01 10:55:55
29,-46.49127197265625,11.904406547546387,2025-10-01 10:57:10
30,-19.627580642700195,-99.27530670166016,2025-10-01 10:58:26
31,-43.77500534057617,241.77073669433594,2025-10-01 10:59:41
32,-39.291343688964844,77.94963836669922,2025-10-01 11:00:56
33,-71.77580261230469,-124.18272399902344,2025-10-01 11:02:11
34,-30.21697998046875,25.096893310546875,2025-10-01 11:03:26
35,-44.15548324584961,-381.2738342285156,2025-10-01 11:04:41
36,-28.003175735473633,-172.7126922607422,2025-10-01 11:05:57
37,-61.33831787109375,-260.8900451660156,2025-10-01 11:07:12
38,-28.860170364379883,-168.86888122558594,2025-10-01 11:08:27
39,-19.761550903320312,-37.09615707397461,2025-10-01 11:09:42
40,-49.376220703125,-199.50228881835938,2025-10-01 11:10:57
41,-32.66291427612305,-87.01072692871094,2025-10-01 11:12:13
42,-22.582365036010742,-108.25404357910156,2025-10-01 11:13:28
43,-49.97308349609375,-71.08383178710938,2025-10-01 11:14:43
44,-41.28590774536133,68.84335327148438,2025-10-01 11:15:58
45,-10.409896850585938,54.21418762207031,2025-10-01 11:17:13
46,-21.71636962890625,-134.79534912109375,2025-10-01 11:18:28
47,-45.09137725830078,-170.16554260253906,2025-10-01 11:19:43
48,-11.044739723205566,102.62710571289062,2025-10-01 11:20:58
49,-11.351099967956543,-167.5302734375,2025-10-01 11:22:13
50,-46.88536071777344,215.11947631835938,2025-10-01 11:23:28
51,-63.71746826171875,245.27464294433594,2025-10-01 11:24:43
52,-7.4372711181640625,-450.7616271972656,2025-10-01 11:25:58
53,-33.05446243286133,276.6374206542969,2025-10-01 11:27:13
54,-20.117473602294922,-265.4712219238281,2025-10-01 11:28:28
55,-17.447235107421875,-198.77352905273438,2025-10-01 11:29:43
56,-42.98007583618164,-162.3292236328125,2025-10-01 11:30:58
57,-21.490005493164062,-79.6125717163086,2025-10-01 11:32:13
58,-17.783676147460938,107.73788452148438,2025-10-01 11:33:28
59,-4.053426742553711,282.4380798339844,2025-10-01 11:34:43
60,2.984100341796875,27.54487419128418,2025-10-01 11:35:58
61,-28.775436401367188,138.65736389160156,2025-10-01 11:37:13
62,-29.702388763427734,114.38555908203125,2025-10-01 11:38:28
63,-31.941251754760742,371.68975830078125,2025-10-01 11:39:44
64,-18.70888328552246,12.641660690307617,2025-10-01 11:40:59
65,-34.68405532836914,211.38226318359375,2025-10-01 11:42:14
66,-13.189818382263184,-193.67190551757812,2025-10-01 11:43:29
67,-28.209022521972656,-207.75094604492188,2025-10-01 11:44:44
68,-42.37940979003906,-454.23382568359375,2025-10-01 11:45:59
69,-42.990482330322266,53.57691192626953,2025-10-01 11:47:14
70,-59.70823669433594,63.26548385620117,2025-10-01 11:48:30
71,-32.18490982055664,-600.0337524414062,2025-10-01 11:49:45
72,-27.289318084716797,109.84707641601562,2025-10-01 11:51:00
73,-12.693683624267578,-155.40159606933594,2025-10-01 11:52:15
74,-17.918275833129883,190.18411254882812,2025-10-01 11:53:30
75,-34.88002014160156,-82.4309310913086,2025-10-01 11:54:46
76,-9.223773002624512,156.83233642578125,2025-10-01 11:56:02
77,-26.922229766845703,-243.09107971191406,2025-10-01 11:57:17
78,-24.998435974121094,-44.884979248046875,2025-10-01 11:58:32
79,-21.658489227294922,-80.2998046875,2025-10-01 11:59:47
80,-6.230006217956543,42.249629974365234,2025-10-01 12:01:02
81,-12.872505187988281,-111.24746704101562,2025-10-01 12:02:17
82,-32.74293899536133,-326.230712890625,2025-10-01 12:03:32
83,-27.631916046142578,-342.7574768066406,2025-10-01 12:04:47
84,-19.549091339111328,-185.2683563232422,2025-10-01 12:06:02
85,-34.19340515136719,-305.6186218261719,2025-10-01 12:07:18
86,-21.010047912597656,-86.7428207397461,2025-10-01 12:08:34
87,-38.909828186035156,297.32672119140625,2025-10-01 12:09:49
88,-28.573713302612305,22.987010955810547,2025-10-01 12:11:04
89,-14.568531036376953,126.09793853759766,2025-10-01 12:12:19
90,-34.48631286621094,-336.4530944824219,2025-10-01 12:13:34
91,-28.017757415771484,-333.0635070800781,2025-10-01 12:14:50
92,-56.396881103515625,92.31555938720703,2025-10-01 12:16:05
93,-69.37628173828125,-398.090576171875,2025-10-01 12:17:20
94,-29.312625885009766,-283.3303527832031,2025-10-01 12:18:35
95,-27.939167022705078,-249.74093627929688,2025-10-01 12:19:51
96,-37.77309799194336,94.01470184326172,2025-10-01 12:21:06
97,-58.434146881103516,435.5574035644531,2025-10-01 12:22:22
98,-15.51584243774414,347.23040771484375,2025-10-01 12:23:38
99,-5.585944175720215,-307.52130126953125,2025-10-01 12:24:53
100,-6.684497833251953,361.1566467285156,2025-10-01 12:26:08
101,4.773962020874023,67.13643646240234,2025-10-01 12:27:23
102,-61.28070068359375,304.78924560546875,2025-10-01 12:28:38
103,-3.4267725944519043,33.445167541503906,2025-10-01 12:29:54
104,-25.627582550048828,-192.0491485595703,2025-10-01 12:31:09
105,-16.189197540283203,45.59008026123047,2025-10-01 12:32:24
106,-8.56995677947998,-204.2001953125,2025-10-01 12:33:39
107,-14.44062614440918,-160.11679077148438,2025-10-01 12:34:55
108,-20.4188175201416,-73.91201782226562,2025-10-01 12:36:10
109,-29.61118507385254,-143.68679809570312,2025-10-01 12:37:25
110,-31.456689834594727,-70.84455871582031,2025-10-01 12:38:40
111,-22.33875846862793,-197.04705810546875,2025-10-01 12:39:55
112,-28.371700286865234,-44.6112060546875,2025-10-01 12:41:10
113,-35.2718505859375,-496.4429016113281,2025-10-01 12:42:25
114,-28.14299774169922,-415.1129455566406,2025-10-01 12:43:40
115,-14.899894714355469,63.61449432373047,2025-10-01 12:44:55
116,-17.12678337097168,-260.40496826171875,2025-10-01 12:46:10
117,-40.08338165283203,56.88383483886719,2025-10-01 12:47:25
118,-68.75457000732422,-323.84295654296875,2025-10-01 12:48:40
